epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4869.28,1.18646,0.55769,0.86303,0.95292,0.88352,0.94665,0.58805,1.32589,0.55854,0.89264,0.005842,0.005842,0.005842
44,4977.27,1.20281,0.56696,0.86628,0.93278,0.91477,0.95003,0.60728,1.28548,0.55325,0.88055,0.005743,0.005743,0.005743
45,5084.69,1.19341,0.56655,0.85553,0.94057,0.90341,0.951,0.59568,1.30435,0.56631,0.88584,0.005644,0.005644,0.005644
46,5195.67,1.17095,0.55137,0.85625,0.92679,0.89908,0.94492,0.58802,1.3024,0.56295,0.88327,0.005545,0.005545,0.005545
47,5302.54,1.15811,0.5429,0.85563,0.94041,0.89668,0.95016,0.60224,1.26828,0.55474,0.88163,0.005446,0.005446,0.005446
48,5411.39,1.16388,0.54954,0.85294,0.93721,0.90057,0.94829,0.59587,1.29893,0.56273,0.88289,0.005347,0.005347,0.005347
49,5519.41,1.17076,0.55355,0.8605,0.93895,0.91753,0.95624,0.60222,1.28838,0.53543,0.88513,0.005248,0.005248,0.005248
50,5629.02,1.17584,0.5544,0.85909,0.93075,0.91761,0.95132,0.59514,1.2906,0.54425,0.88205,0.005149,0.005149,0.005149
51,5737.42,1.16103,0.54841,0.85655,0.92421,0.90625,0.95458,0.59991,1.30004,0.55342,0.88423,0.00505,0.00505,0.00505
52,5846.62,1.16245,0.54963,0.86001,0.9281,0.90909,0.95491,0.60363,1.26525,0.5586,0.87773,0.004951,0.004951,0.004951
53,5954.94,1.14395,0.53861,0.85571,0.93595,0.90341,0.95208,0.59755,1.27148,0.54925,0.87627,0.004852,0.004852,0.004852
54,6063.27,1.12636,0.52666,0.85387,0.91734,0.88278,0.94283,0.60673,1.27214,0.5643,0.88037,0.004753,0.004753,0.004753
55,6170.82,1.13701,0.54259,0.85179,0.92525,0.90341,0.95319,0.60721,1.26502,0.55706,0.88025,0.004654,0.004654,0.004654
56,6278.71,1.12533,0.53098,0.85441,0.93304,0.91053,0.95766,0.60821,1.27271,0.5397,0.87702,0.004555,0.004555,0.004555
57,6388.25,1.13128,0.52887,0.85307,0.93789,0.90091,0.95671,0.61208,1.26842,0.5423,0.87732,0.004456,0.004456,0.004456
58,6496.82,1.13201,0.53043,0.84942,0.94366,0.90405,0.96026,0.59888,1.28126,0.53766,0.87873,0.004357,0.004357,0.004357
59,6604.34,1.12484,0.53011,0.85045,0.94311,0.90341,0.95428,0.60329,1.2778,0.55468,0.87835,0.004258,0.004258,0.004258
60,8645.96,1.10547,0.52143,0.84764,0.92982,0.90332,0.95261,0.60362,1.29217,0.5475,0.88304,0.004159,0.004159,0.004159
61,8738.61,1.11439,0.52737,0.84723,0.94892,0.90909,0.95309,0.60508,1.284,0.55535,0.87817,0.00406,0.00406,0.00406
62,8847.27,1.09412,0.51102,0.84937,0.92436,0.90264,0.94583,0.60506,1.27585,0.56303,0.87839,0.003961,0.003961,0.003961
63,8958.32,1.10201,0.51923,0.8447,0.91485,0.91761,0.9498,0.60644,1.26737,0.53736,0.87926,0.003862,0.003862,0.003862
64,9074.66,1.09941,0.51588,0.85133,0.9325,0.90265,0.95428,0.61174,1.25876,0.54232,0.87621,0.003763,0.003763,0.003763
65,9192.83,1.10021,0.52296,0.84726,0.92663,0.91761,0.95527,0.61296,1.27903,0.53409,0.87956,0.003664,0.003664,0.003664
66,9306.88,1.11589,0.52578,0.84395,0.91592,0.92845,0.96153,0.60437,1.28403,0.53319,0.88029,0.003565,0.003565,0.003565
67,9419.39,1.1118,0.51918,0.845,0.92829,0.91193,0.95677,0.60232,1.30358,0.53044,0.88466,0.003466,0.003466,0.003466
68,9533.15,1.11258,0.51918,0.84108,0.9519,0.89963,0.95471,0.60502,1.28978,0.54132,0.88351,0.003367,0.003367,0.003367
69,9644.84,1.08229,0.50351,0.84782,0.91012,0.94034,0.9619,0.60469,1.28244,0.52305,0.87955,0.003268,0.003268,0.003268
70,9759.45,1.07125,0.51042,0.84068,0.92771,0.91148,0.95365,0.6091,1.27927,0.53987,0.87951,0.003169,0.003169,0.003169
71,9873.25,1.0836,0.50119,0.84677,0.91937,0.92614,0.95915,0.6072,1.29266,0.52723,0.88274,0.00307,0.00307,0.00307
72,9984.66,1.06769,0.49518,0.84278,0.9411,0.90781,0.95816,0.61271,1.28743,0.52686,0.8813,0.002971,0.002971,0.002971
73,10101.8,1.09545,0.5153,0.8458,0.93362,0.91761,0.9553,0.6058,1.27368,0.52062,0.87866,0.002872,0.002872,0.002872
74,10213.9,1.05087,0.49089,0.83916,0.93333,0.91469,0.95385,0.60717,1.28796,0.51764,0.88168,0.002773,0.002773,0.002773
75,10328.8,1.04948,0.48923,0.83832,0.92676,0.91761,0.9578,0.60166,1.30119,0.53399,0.88453,0.002674,0.002674,0.002674
76,10438.9,1.05597,0.48934,0.84006,0.91916,0.90625,0.9497,0.60289,1.29354,0.52713,0.88134,0.002575,0.002575,0.002575
77,10554.9,1.04852,0.4893,0.83776,0.94523,0.91477,0.96019,0.60051,1.29092,0.5293,0.87981,0.002476,0.002476,0.002476
78,10667.8,1.02878,0.48025,0.84383,0.93639,0.92007,0.9618,0.60901,1.29295,0.5138,0.87932,0.002377,0.002377,0.002377
79,10782.8,1.04458,0.48964,0.83336,0.9492,0.90625,0.95519,0.60684,1.27521,0.53489,0.87916,0.002278,0.002278,0.002278
80,10896.4,1.03689,0.49162,0.8346,0.94602,0.91193,0.95584,0.61164,1.27384,0.53236,0.87728,0.002179,0.002179,0.002179
81,11008.4,1.03022,0.48419,0.8381,0.93681,0.92657,0.95566,0.60581,1.29354,0.52799,0.8839,0.00208,0.00208,0.00208
82,11123.8,1.0365,0.4982,0.83476,0.93436,0.9233,0.96067,0.60757,1.279,0.52851,0.8808,0.001981,0.001981,0.001981
83,11232.8,1.03146,0.48789,0.83403,0.93353,0.91766,0.95629,0.61109,1.2908,0.52566,0.8811,0.001882,0.001882,0.001882
84,11349.9,1.02803,0.48257,0.83344,0.94744,0.92181,0.95966,0.60966,1.28084,0.51857,0.8798,0.001783,0.001783,0.001783
85,11465.9,1.0219,0.47829,0.83267,0.91525,0.9204,0.95511,0.61528,1.28204,0.52967,0.87903,0.001684,0.001684,0.001684
86,11581,1.02264,0.4794,0.83281,0.94014,0.91761,0.95568,0.6116,1.279,0.52631,0.88011,0.001585,0.001585,0.001585
87,11698.8,1.01437,0.47437,0.8371,0.93174,0.9233,0.95782,0.61119,1.27486,0.51788,0.88272,0.001486,0.001486,0.001486
88,11817.5,1.01849,0.47645,0.83141,0.94403,0.9105,0.9588,0.60277,1.28883,0.52364,0.88243,0.001387,0.001387,0.001387
89,11929.7,0.98165,0.4608,0.8304,0.95103,0.92045,0.95793,0.61285,1.27073,0.5172,0.8786,0.001288,0.001288,0.001288
90,12045.2,0.99197,0.47544,0.8298,0.94533,0.91477,0.95744,0.61203,1.26946,0.50999,0.8797,0.001189,0.001189,0.001189
91,12190.8,0.93537,0.43692,0.83293,0.92549,0.90625,0.94899,0.60609,1.27618,0.52387,0.87981,0.00109,0.00109,0.00109
92,14292.9,0.91165,0.42621,0.83519,0.94648,0.90425,0.9488,0.60799,1.28464,0.52615,0.88093,0.000991,0.000991,0.000991
93,14397.8,0.89385,0.41756,0.82809,0.94658,0.91477,0.95781,0.6126,1.28662,0.52361,0.87943,0.000892,0.000892,0.000892
94,14504.8,0.898,0.42265,0.82638,0.93885,0.916,0.9556,0.60892,1.2975,0.51745,0.88368,0.000793,0.000793,0.000793
95,14615.9,0.89413,0.42048,0.82772,0.94377,0.91477,0.95933,0.60975,1.28221,0.51928,0.88112,0.000694,0.000694,0.000694
96,14732.9,0.88773,0.41359,0.82526,0.95289,0.89489,0.95842,0.60934,1.28805,0.51981,0.8826,0.000595,0.000595,0.000595
97,14853.2,0.88283,0.41084,0.8279,0.95351,0.89489,0.95525,0.6123,1.28409,0.51424,0.88133,0.000496,0.000496,0.000496
98,14962.5,0.88936,0.41408,0.82859,0.95692,0.89773,0.95482,0.60919,1.28995,0.518,0.88193,0.000397,0.000397,0.000397
99,15077.6,0.85908,0.40519,0.82761,0.9331,0.91132,0.95453,0.60748,1.28794,0.51359,0.88118,0.000298,0.000298,0.000298
100,15199.2,0.88299,0.41324,0.82363,0.93322,0.91316,0.95717,0.60783,1.28419,0.5164,0.88082,0.000199,0.000199,0.000199
